Invoice,StockCode,Sum of Quantity,InvoiceTime,Sum of Price,Customer ID,Country,StockCode_ID,Status
493410,TEST001,5,1/4/2010 9:24,$4.50 ,12346,United States of America,TE,successful
493412,TEST001,5,1/4/2010 9:53,$4.50 ,12346,United States of America,TE,successful
493414,21527,12,1/4/2010 10:28,$6.95 ,14590,P@/and,21,successful
493414,21531,24,1/4/2010 10:28,$2.10 ,14590,United States of America,21,successful
493414,21533,12,1/4/2010 10:28,$4.25 ,14590,United States of America,21,successful
493414,21844,36,1/4/2010 10:28,$2.55 ,14590,P@/and,21,successful
493414,35001G,2,1/4/2010 10:28,$4.25 ,14590,United States of America,35,successful
493414,37508,2,1/4/2010 10:28,$2.55 ,14590,United States of America,37,successful
493427,18096C,6,1/4/2010 10:43,$2.55 ,13287,United States of America,18,successful
493427,21232,12,1/4/2010 10:43,$1.25 ,13287,United States of America,21,successful
493427,21428,4,1/4/2010 10:43,$4.25 ,13287,United States of America,21,successful
493427,21576,6,1/4/2010 10:43,$2.25 ,13287,United States of America,21,successful
493427,21577,6,1/4/2010 10:43,$2.25 ,13287,United States of America,21,successful
493427,21681,2,1/4/2010 10:43,$9.95 ,13287,United States of America,21,successful
493427,21682,4,1/4/2010 10:43,$4.95 ,13287,United States of America,21,successful
493427,21777,2,1/4/2010 10:43,$7.95 ,13287,United States of America,21,successful
493427,22178,12,1/4/2010 10:43,$1.25 ,13287,United States of America,22,successful
493427,22214,6,1/4/2010 10:43,$2.55 ,13287,United States of America,22,successful
493427,37447,12,1/4/2010 10:43,$1.49 ,13287,United States of America,37,successful
493427,72369A,6,1/4/2010 10:43,$1.25 ,13287,United States of America,72,successful
493427,72780,12,1/4/2010 10:43,$0.85 ,13287,United States of America,72,successful
493427,72780,12,1/4/2010 10:43,$0.85 ,13287,United States of America,72,successful
493427,72780,12,1/4/2010 10:43,$0.85 ,13287,United States of America,72,successful
493427,79000,12,1/4/2010 10:43,$0.85 ,13287,United States of America,79,successful
493427,82483,4,1/4/2010 10:43,$5.95 ,13287,United States of America,82,successful
493427,84499,12,1/4/2010 10:43,$0.85 ,13287,United States of America,84,successful
493427,84615,2,1/4/2010 10:43,$7.95 ,13287,United States of America,84,successful
493427,84686,2,1/4/2010 10:43,$4.25 ,13287,United States of America,84,successful
493428,20681,2,1/4/2010 11:15,$3.25 ,16550,United States of America,20,successful
493428,20682,2,1/4/2010 11:15,$3.25 ,16550,United States of America,20,successful
493428,20686,2,1/4/2010 11:15,$3.25 ,16550,United States of America,20,successful
493428,20752,3,1/4/2010 11:15,$2.10 ,16550,United States of America,20,successful
493428,20754,3,1/4/2010 11:15,$2.10 ,16550,United States of America,20,successful
493428,21411,2,1/4/2010 11:15,$4.25 ,16550,United States of America,21,successful
493428,21558,1,1/4/2010 11:15,$2.55 ,16550,Germany,21,successful
493428,21559,4,1/4/2010 11:15,$2.55 ,16550,United States of America,21,successful
493428,21561,4,1/4/2010 11:15,$2.55 ,16550,United States of America,21,successful
493428,21622,6,1/4/2010 11:15,$4.95 ,16550,United States of America,21,successful
493428,21658,2,1/4/2010 11:15,$3.95 ,16550,United States of America,21,successful
493428,21843,1,1/4/2010 11:15,$10.95 ,16550,United States of America,21,successful
493428,22083,6,1/4/2010 11:15,$2.95 ,16550,United States of America,22,successful
493428,22084,4,1/4/2010 11:15,$2.95 ,16550,United States of America,22,successful
493428,22190,4,1/4/2010 11:15,$2.10 ,16550,United States of America,22,successful
493428,22197,6,1/4/2010 11:15,$0.85 ,16550,United States of America,22,successful
493428,22198,6,1/4/2010 11:15,$1.65 ,16550,United States of America,22,successful
493428,22347,6,1/4/2010 11:15,$1.25 ,16550,United States of America,22,successful
493428,22353,4,1/4/2010 11:15,$2.55 ,16550,United States of America,22,successful
493428,79320,2,1/4/2010 11:15,$4.95 ,16550,United States of America,79,successful
493428,79321,2,1/4/2010 11:15,$4.95 ,16550,United States of America,79,successful
493428,84562A,1,1/4/2010 11:15,$7.95 ,16550,United States of America,84,successful
493428,84563A,1,1/4/2010 11:15,$5.95 ,16550,United States of America,84,successful
493428,84988,10,1/4/2010 11:15,$1.45 ,16550,United States of America,84,successful
493432,20681,2,1/4/2010 12:30,$3.25 ,14680,United States of America,20,successful
493432,20682,2,1/4/2010 12:30,$3.25 ,14680,United States of America,20,successful
493432,20718,2,1/4/2010 12:30,$1.25 ,14680,Germany,20,successful
493432,20725,10,1/4/2010 12:30,$1.65 ,14680,United States of America,20,successful
493432,20726,20,1/4/2010 12:30,$1.65 ,14680,United States of America,20,successful
493432,20914,1,1/4/2010 12:30,$2.95 ,14680,United States of America,20,successful
493432,21156,2,1/4/2010 12:30,$1.95 ,14680,United States of America,21,successful
493432,21175,2,1/4/2010 12:30,$2.10 ,14680,United States of America,21,successful
493432,21217,2,1/4/2010 12:30,$9.95 ,14680,United States of America,21,successful
493432,21218,1,1/4/2010 12:30,$3.75 ,14680,United States of America,21,successful
493432,21231,4,1/4/2010 12:30,$1.25 ,14680,United States of America,21,successful
493432,21232,7,1/4/2010 12:30,$1.25 ,14680,United States of America,21,successful
493432,21327,1,1/4/2010 12:30,$1.65 ,14680,United States of America,21,successful
493432,21329,1,1/4/2010 12:30,$1.65 ,14680,United States of America,21,successful
493432,21357,5,1/4/2010 12:30,$1.25 ,14680,United States of America,21,successful
493432,21488,1,1/4/2010 12:30,$3.95 ,14680,United States of America,21,successful
493432,21523,1,1/4/2010 12:30,$6.75 ,14680,Italy,21,successful
493432,21527,5,1/4/2010 12:30,$7.95 ,14680,United States of America,21,successful
493432,21531,2,1/4/2010 12:30,$2.55 ,14680,United States of America,21,successful
493432,21533,1,1/4/2010 12:30,$4.95 ,14680,United States of America,21,successful
493432,21535,2,1/4/2010 12:30,$2.55 ,14680,United States of America,21,successful
493432,21537,1,1/4/2010 12:30,$4.25 ,14680,Italy,21,successful
493432,21556,3,1/4/2010 12:30,$2.55 ,14680,United States of America,21,successful
493432,21558,1,1/4/2010 12:30,$2.55 ,14680,Germany,21,successful
493432,21559,2,1/4/2010 12:30,$2.55 ,14680,United States of America,21,successful
493432,21733,8,1/4/2010 12:30,$2.95 ,14680,United States of America,21,successful
